M,n_tasks,algorithm,run,cvr_mean,robust_util_total_mean,util_total_mean,time_mean_ms,time_std_ms,time_p99_ms,time_max_ms,timeout_rate
10,100,RA-LNS,12,0.0448007499999999,0.959740030262041,0.4698212409604158,6.371431003790363,5.781958336034349,123.66379005834465,131.37489999644458,1.0
10,100,RG,12,0.0972683333333333,0.9507529881875092,0.467673064694084,2.445119997020811,0.0752077399771653,0.7213191338814796,0.7330998778343201,0.0
10,100,Std-LNS,12,0.1378007499999999,0.959740030262041,0.4698212409604158,6.052859453600845,5.781958336034349,123.66379005834465,131.37489999644458,1.0
10,100,DG,13,0.2155236666666667,1.029679035938519,0.4930810199227229,2.1602760143578053,0.0288471311785906,0.2599130012094974,0.261200126260519,0.0
10,100,EPD-FF,13,0.1427293333333333,1.000819156377285,0.4954197251930058,2.449933991767466,0.0846922851613686,0.7157050934620202,0.7261000573635101,0.0
10,100,RA-LNS,13,0.09068325,1.033344625361249,0.4991358909719478,4.680908985901624,3.401816044826856,114.25194585230204,116.17709998972714,1.0
10,100,RG,13,0.1706883333333332,1.0145711059622315,0.4939350821166395,2.443271999247372,0.0914517222130273,0.740938037633897,0.952600035816431,0.0
10,100,Std-LNS,13,0.18368325,1.033344625361249,0.4991358909719478,4.446863536606543,3.401816044826856,114.25194585230204,116.17709998972714,1.0
10,100,DG,14,0.1971036666666666,1.0165387215305173,0.489783378302866,2.1624809950590134,0.0307787268742995,0.2636031433939934,0.2639000304043293,0.0
10,100,EPD-FF,14,0.1184393333333333,0.990002534152724,0.4890940339846646,2.451080985367298,0.0981503146486852,0.765270884148777,0.8614000398665667,0.0
10,100,RA-LNS,14,0.0754607499999999,1.01732258656147,0.4901675231986655,5.212225983850658,4.914911101431634,121.40848392155024,127.11920007131994,1.0
10,100,RG,14,0.1524783333333333,1.0025888551706388,0.4881920941201989,2.4522199905477464,0.0921474215663039,0.7432001782581215,0.8322999347001314,0.0
10,100,Std-LNS,14,0.1684607499999999,1.01732258656147,0.4901675231986655,4.951614684658125,4.914911101431634,121.40848392155024,127.11920007131994,1.0
10,100,DG,15,0.0423436666666667,0.8681151437878901,0.416266822084095,2.156221005599946,0.0203881630991198,0.2293630014173686,0.2356001641601324,0.0
10,100,EPD-FF,15,0.0525893333333333,0.8289559235612317,0.4125557614352867,2.3675339883193374,0.0626141733112471,0.5341709894128146,0.5807999987155199,0.0
10,100,RA-LNS,15,0.02347825,0.8594575688518725,0.4205346494341559,7.8900599968619645,6.27063197192162,122.94290387071672,128.3288998529315,1.0
10,100,RG,15,0.0432083333333333,0.8559720154010949,0.4182211923344688,2.4571949993260205,0.0982068377747133,0.7434421684592974,0.9752998594194652,0.0
10,100,Std-LNS,15,0.11647825,0.8594575688518725,0.4205346494341559,7.495556997018866,6.27063197192162,122.94290387071672,128.3288998529315,1.0
10,100,DG,16,0.1486136666666667,0.9785801237593832,0.4705112211411916,2.162311987951398,0.0317228017706605,0.2649280335754159,0.327100045979023,0.0
