algorithm,run,cvr_mean,cvr_std,per_server_vr_mean,U_max_mean,O1_mean,excess_mean,time_mean_ms,time_p99_ms,feasible_rate,exp_makespan_mean,util_new_mean,util_total_mean,robust_util_total_mean,time_std_ms,time_p50_ms,time_max_ms,timeout_rate
Std-LNS,6,0.06714,0.03831501533341726,0.006943000000000001,1.094745932349748,2607.90458961567,15.303761497421817,28.274247999070212,29.182210050057623,0.12,1061.704813581112,0.4232129387032949,0.42354536530046877,0.8898297263190387,0.2398052419559919,28.227149974554777,29.658399987965822,0.0
RA-LNS,6,0.01781,0.015936558599647543,0.0018030000000000001,0.9172024234597166,2351.3398539662244,2.888438887633839,107.21404100186191,121.14844102645296,1.0,1620.9675679377835,0.42771649571887016,0.42771649571887016,0.8749281560904939,5.106559595526178,106.10090004047379,125.4590000025928,1.0
DG,7,0.1404,0.08455459774607174,0.015276999999999999,1.1679339545956957,2670.218771823849,35.83611939627376,0.17946199397556484,0.21695801638998136,0.02,1184.0093214033448,0.4679801269778415,0.46850954809425666,0.9737673474432862,0.013551648383966712,0.1771500101312995,0.3019000869244337,0.0
RG,7,0.08629000000000002,0.07153688489164173,0.009229,1.0563597693959115,2508.3519971631163,17.573372520478063,0.4229729971848428,0.44266199343837803,0.23,1523.916584957426,0.4701163789865434,0.47056532758632874,0.9619559121000856,0.006686664509375906,0.4225500160828233,0.45870000030845404,0.0
EPD-FF,7,0.08452,0.056265705363036204,0.008943,1.0647313977132102,2474.5902988820476,16.804186473897758,0.4547150037251413,0.57232704712078,0.58,1829.2072081900635,0.4709768597835421,0.4712335391179372,0.9491833524315553,0.046512136543855796,0.4427999956533313,0.6245000986382365,0.0
Std-LNS,7,0.13848999999999997,0.08080365028883288,0.015049000000000002,1.1650413982718952,2615.971108353613,33.986503321334396,28.17245800048113,29.73348996718414,0.04,1066.7238311064834,0.4689839928274104,0.470058395165423,0.9756800589605096,0.39058642507047386,28.069349995348603,29.88100005313754,0.0
RA-LNS,7,0.0729,0.06361847216021459,0.007762,0.9879154982604733,2351.651406521211,13.340480554944554,106.52231800951995,120.0240300782025,0.7,1607.777692806912,0.4714446222470366,0.4717540236403025,0.9614362489161625,5.1004789477717765,105.4219999932684,122.83860007300973,1.0
DG,8,0.10446,0.054455196262615746,0.011036999999999998,1.1299890964881023,2695.7112449608812,24.83689806205699,0.17384400824084878,0.18302299547940498,0.03,1196.8683121986135,0.4543356731894431,0.4550502829983284,0.9489851891967231,0.0035267344043628506,0.17330003902316093,0.19519997294992208,0.0
RG,8,0.05351,0.03668473660802269,0.005532999999999999,1.0228704545388079,2541.3409858618043,10.243308215066348,0.4255590040702373,0.441737985238433,0.34,1507.1418542174315,0.45847059328947526,0.45855671080906923,0.9322948007071798,0.006556229330415457,0.4243999719619751,0.46529993414878845,0.0
EPD-FF,8,0.06613000000000001,0.029255992548536107,0.0068140000000000015,1.0335412325609117,2495.5477411918832,11.310174631792451,0.4489189921878278,0.5491409893147648,0.74,1758.4281552928826,0.46182765083325905,0.4620965549305904,0.919685412690181,0.03301450902742946,0.44380000326782465,0.5630999803543091,0.0
Std-LNS,8,0.10414999999999999,0.056386944410918384,0.011028000000000003,1.134252442379859,2658.5668477224035,24.424930359246062,28.373673991300166,29.848511025775224,0.04,1078.4728405534477,0.4560921490313149,0.45705158634797527,0.9497177469359457,0.3519033519358048,28.36905000731349,30.007999972440302,0.0
RA-LNS,8,0.04585,0.03548785003349738,0.0047480000000000005,0.9617206697416607,2343.339392129351,7.693870039863961,107.74057500064373,121.41927605494857,0.87,1584.1272266600372,0.4609322517348077,0.46113751357871413,0.9345017717050892,5.8074859352424015,106.44215001957491,121.90200004260987,1.0
DG,9,0.15257,0.07242365014275379,0.016543000000000002,1.1906292130672018,2661.750654830772,38.463434702835784,0.17793999635614455,0.1955779758282006,0.0,1174.8306752774577,0.4726852058943784,0.4735806227382906,0.9852612993670152,0.0044546837858791275,0.17724995268508792,0.20330003462731838,0.0
RG,9,0.09015000000000001,0.056781577117935,0.009564,1.070139545450716,2504.896847418355,18.39060046361708,0.426986999809742,0.44615501770749705,0.14,1510.0599053268786,0.47563912082185683,0.47626480546308225,0.9712221654026472,0.00770725450743301,0.4256999818608165,0.48129993956536055,0.0
EPD-FF,9,0.09488000000000002,0.06345821932578947,0.010008999999999999,1.0940104419670158,2476.957886474324,19.738827774542933,0.45480300206691027,0.5659550020936877,0.42,2013.9054152679255,0.46928487112213024,0.47006300177013616,0.963508315327982,0.03911263267421221,0.4480999778024852,0.571400043554604,0.0
Std-LNS,9,0.17034000000000005,0.07935102015727334,0.018629,1.2120585001824065,2631.6489445558045,43.1034243490049,28.314788000425324,29.898199993185713,0.0,1066.0587931501386,0.4737868954575309,0.4751464235333424,0.9874267398695207,0.4974690054048854,28.252299991436303,32.39300008863211,0.0
RA-LNS,9,0.07768,0.052668373811994615,0.008198,0.9925359961403398,2344.907879765256,13.775596963274825,106.87372300191782,121.98055995744654,0.7,1566.373250650142,0.4771793001662042,0.4774169376995292,0.9713512647316523,5.460950932666684,105.45230004936457,124.8278000857681,1.0
DG,10,0.21631999999999998,0.09223728963927767,0.024406999999999998,1.2313034566639296,2652.677594678527,57.326602630552216,0.17924000159837306,0.23523991578258668,0.0,1197.0979437625326,0.49294623311104924,0.4961759916122682,1.0298524197234127,0.024978445086975578,0.1755499979481101,0.41740003507584333,0.0
RG,10,0.14561,0.09139659676377453,0.016176999999999997,1.1159819138673723,2531.3846615963403,30.699982159194136,0.42528700083494186,0.4733289743307992,0.04,1508.8039690973526,0.4960962645363757,0.49788048088219156,1.0151104235353885,0.032990259039285555,0.4201500560157001,0.7434999570250511,0.0
EPD-FF,10,0.13991,0.09396213013762512,0.015333999999999997,1.1657774577662463,2468.581261806368,33.52938846036616,0.4881460021715611,0.5916779628023507,0.17,1713.2574126820462,0.49557234645054976,0.498152095585283,1.0038207233380374,0.04847216235063675,0.4818500019609928,0.6291000172495842,0.0
Std-LNS,10,0.21832000000000001,0.09369449076653333,0.024653,1.231657452173053,2619.2342624729336,58.25102069726226,28.229550002142787,29.72664998378605,0.0,1071.9759740736984,0.49402851834851225,0.49775427207277795,1.031288412876868,0.3457498191643012,28.148499957751483,30.48399998806417,0.0
RA-LNS,10,0.13114,0.08078923443132754,0.014271999999999998,1.0393932797082812,2395.4708429845427,25.41567650464951,106.5282170008868,119.81765699340033,0.33,1569.338186661357,0.4967661598285057,0.49909639147829454,1.0140256339149178,5.133277312393789,105.02479999559,124.48619992937893,1.0
